Date,Nifty Value,,Date,PE Ratio
07-05-2000,1526.05,,07-05-2000,19.7303
07-06-2000,1516.8,,07-06-2000,19.6107
07-07-2000,1517.6,,07-07-2000,19.621
07-10-2000,1509.65,,07-10-2000,19.5182
07-11-2000,1518.55,,07-11-2000,19.6333
07-12-2000,1533.35,,07-12-2000,19.8246
7/13/2000,1522.6,,7/13/2000,19.6856
7/14/2000,1509.75,,7/14/2000,19.5195
7/17/2000,1479.65,,7/17/2000,19.1303
7/18/2000,1463.1,,7/18/2000,18.9164
7/19/2000,1435.8,,7/19/2000,18.5634
7/20/2000,1424.2,,7/20/2000,18.4134
7/21/2000,1397.25,,7/21/2000,18.065
7/24/2000,1317.75,,7/24/2000,17.0371
7/25/2000,1348.9,,7/25/2000,17.4399
7/26/2000,1318.25,,7/26/2000,17.0436
7/27/2000,1338.05,,7/27/2000,17.2996
7/28/2000,1333.8,,7/28/2000,17.2447
7/31/2000,1332.85,,7/31/2000,17.2324
08-01-2000,1326.85,,08-01-2000,17.1548
08-02-2000,1331.9,,08-02-2000,17.2701
08-03-2000,1321.25,,08-03-2000,17.132
08-04-2000,1318.55,,08-04-2000,17.097
08-07-2000,1310.8,,08-07-2000,16.9965
08-08-2000,1345.6,,08-08-2000,17.4477
08-09-2000,1344.95,,08-09-2000,17.9381
08-10-2000,1328,,08-10-2000,17.7121
08-11-2000,1310.75,,08-11-2000,17.482
8/14/2000,1317.9,,8/14/2000,17.5773
8/16/2000,1351.45,,8/16/2000,18.0248
8/17/2000,1341.4,,8/17/2000,17.8908
8/18/2000,1358.05,,8/18/2000,18.1128
8/21/2000,1370.25,,8/21/2000,18.2756
8/22/2000,1381.2,,8/22/2000,18.4216
8/23/2000,1386.05,,8/23/2000,18.4863
8/24/2000,1386.95,,8/24/2000,18.4983
8/25/2000,1381.25,,8/25/2000,18.4223
8/28/2000,1369.85,,8/28/2000,18.2702
8/29/2000,1367.7,,8/29/2000,18.2415
